X,Y,Inbetriebn,PLZ,Ort,Strasse,Nennleistu,kWh(2013),kWh(averag,kWh/kW,addrtype,addrlocat
8.0974101,49.1918701,08.02.2008,"76829",Landau,"Fleckensteinstraße,16","7,5","6312","6839,8","911",highway,residential
8.09369049692063,49.1932279,11.04.2008,"76829",Landau,"Lindelbrunnstraße,28","5,06","4527","4922,8","972",building,yes
8.1214773,49.2008773,25.06.2008,"76829",Landau,"Nordring,45,b","8,6","8205","8759","1018",building,yes
8.11796274387378,49.19274435,31.07.2008,"76829",Landau,"Vogesenstraße,19","18","17697","18869,2","1048",building,yes
8.09281325,49.19329635,05.08.2008,"76829",Landau,"Ebernburgstraße,20","5,4","5161","5622,6","1041",building,yes
8.13324750256639,49.2090679,01.09.2008,"76829",Landau,"Fassendeichstraße,10","9,57","9123","9790,4","1023",building,yes
8.0877572,49.1905643,23.09.2008,"76829",Landau,"Rosheimer Straße,7","5,92","5139","5175","874",highway,residential
8.0932046,49.1918236,10.10.2008,"76829",Landau,"Limburgstraße,4","3,4","3015","2687,4","790",place,house
8.12148845,49.1987353,10.10.2008,"76829",Landau,"Heinrich-Heine-Platz,1,e","6,52","5384","5926,8","909",building,yes
8.1014038,49.1911027,13.10.2008,"76829",Landau,"Maxburgstraße,18","5,94","5564","6124,4","1031",highway,residential
8.10320211608849,49.20049635,27.10.2008,"76829",Landau,"Friesenstraße,16","12,42","10701","11470","923",building,yes
8.0974101,49.1918701,07.11.2008,"76829",Landau,"Fleckensteinstraße,14","3,22","2923","3113,4","966",highway,residential
8.13318316284022,49.2047226,13.11.2008,"76829",Landau,"Lindenstraße,11","5,22","5257","5743,6","1100",building,yes
8.0702639,49.169211,03.12.2008,"76829",Landau,Am Frohnacker 20,"6,29","5580","5628,8","894",highway,residential
8.13378,49.2092424,15.12.2008,"76829",Landau,"Fassendeichstraße,8","29,52","21575","28400,2","962",craft,HAAG_GmbH
8.1098524,49.2097014,18.12.2008,"76829",Landau,"Lotschstraße,2","382,95","35948","291573,6","761",craft,woodwork
8.1237928,49.20946975,22.12.2008,"76829",Landau,Hainbachstraße 83,"46,92","41639","41287","879",building,yes
